message,es,percentage_es,en,percentage_en,comments,example,type,message_l2
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,Y,Y-MOD,ACTION-LINKING",det noun:animate adj aux::present:progressive:singular verb:anim-intrans prg,0.26,det adj noun:animate aux::present:progressive:singular verb:anim-intrans prg,0.26,present_progressive_animate_intransitive_adj,the tall woman is play -prg,anim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,Y,ACTION-LINKING",det noun:animate aux::present:progressive:singular verb:anim-intrans prg,0.45,det noun:animate aux::present:progressive:singular verb:anim-intrans prg,0.45,present_progressive_animate_intransitive,the woman is play -prg,anim_intrans,
"Y=pron;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,Y,ACTION-LINKING",pron:subject aux::present:progressive:singular verb:anim-intrans prg,0.45,pron:subject aux::present:progressive:singular verb:anim-intrans prg,0.45,present_progressive_animate_intransitive_pron,she is play -prg,anim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PAST,PROGRESSIVE,Y,Y-MOD,ACTION-LINKING",det noun:animate adj aux::past:progressive:singular verb:anim-intrans prg,0.26,det adj noun:animate aux::past:progressive:singular verb:anim-intrans prg,0.26,past_progressive_animate_intransitive_adj,the tall woman was play -prg,anim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PAST,PROGRESSIVE,Y,ACTION-LINKING",det noun:animate aux::past:progressive:singular verb:anim-intrans prg,0.45,det noun:animate aux::past:progressive:singular verb:anim-intrans prg,0.45,past_progressive_animate_intransitive,the woman was play -prg,anim_intrans,
"Y=pron;ACTION-LINKING=;EVENT-SEM=PAST,PROGRESSIVE,Y,ACTION-LINKING",pron:subject aux::past:progressive:singular verb:anim-intrans prg,0.45,pron:subject aux::past:progressive:singular verb:anim-intrans prg,0.45,past_progressive_animate_intransitive_pron,she was play -prg,anim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,Y,Y-MOD,ACTION-LINKING",det noun:animate adj aux::present:perfect:singular verb:anim-intrans prf,0.26,det adj noun:animate aux::present:perfect:singular verb:anim-intrans prf,0.26,present_perfect_animate_intransitive_adj,the tall woman has play -par,anim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,Y,ACTION-LINKING",det noun:animate aux::present:perfect:singular verb:anim-intrans prf,0.45,det noun:animate aux::present:perfect:singular verb:anim-intrans prf,0.45,present_perfect_animate_intransitive,the woman has play -par,anim_intrans,
"Y=pron;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,Y,ACTION-LINKING",pron:subject aux::present:perfect:singular verb:anim-intrans prf,0.45,pron:subject aux::present:perfect:singular verb:anim-intrans prf,0.45,present_perfect_animate_intransitive_pron,she has play -par,anim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,SIMPLE,Y,Y-MOD,ACTION-LINKING",det noun:animate adj verb:anim-intrans,0.26,det adj noun:animate verb:anim-intrans,0.26,simple_present_animate_intransitive_adj,,anim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PRESENT,SIMPLE,Y,ACTION-LINKING",det noun:animate verb:anim-intrans,0.45,det noun:animate verb:anim-intrans,0.45,simple_present_animate_intransitive,,anim_intrans,
"Y=pron;ACTION-LINKING=;EVENT-SEM=PRESENT,SIMPLE,Y,ACTION-LINKING",pron:subject verb:anim-intrans,0.45,pron:subject verb:anim-intrans,0.45,simple_present_animate_intransitive_pron,,anim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PAST,SIMPLE,Y,Y-MOD,ACTION-LINKING",det noun:animate adj verb:anim-intrans past,0.26,det adj noun:animate verb:anim-intrans past,0.26,simple_past_animate_intransitive adj,,anim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PAST,SIMPLE,Y,ACTION-LINKING",det noun:animate verb:anim-intrans past,0.45,det noun:animate verb:anim-intrans past,0.45,simple_past_animate_intransitive,,anim_intrans,
"Y=pron;ACTION-LINKING=;EVENT-SEM=PAST,SIMPLE,Y,ACTION-LINKING",pron:subject verb:anim-intrans past,0.45,pron:subject verb:anim-intrans past,0.45,simple_past_animate_intransitive_pron,,anim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,SIMPLE,Y,Y-MOD,ACTION-LINKING,D,Z",det noun:animate adj aux::present:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.26,det adj noun:animate aux::present:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.26,present_progressive_animate_with_intransitive_adj,,anim_w_intrans,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,SIMPLE,Y,ACTION-LINKING,D,Z",det noun:animate aux::present:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,det noun:animate aux::present:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,present_progressive_animate_with_intransitive,,anim_w_intrans,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,SIMPLE,Y,ACTION-LINKING,D,Z",pron:subject aux::present:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,pron:subject aux::present:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,present_progressive_animate_with_intransitive_pron,,anim_w_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,SIMPLE,Y,Y-MOD,ACTION-LINKING,D,Z",det noun:animate adj aux::past:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.26,det adj noun:animate aux::past:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.26,past_progressive_animate_with_intransitive_adj,,anim_w_intrans,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,SIMPLE,Y,ACTION-LINKING,D,Z",det noun:animate aux::past:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,det noun:animate aux::past:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,past_progressive_animate_with_intransitive,,anim_w_intrans,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,SIMPLE,Y,ACTION-LINKING,D,Z",pron:subject aux::past:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,pron:subject aux::past:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,past_progressive_animate_with_intransitive_pron,,anim_w_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,SIMPLE,Y,Y-MOD,ACTION-LINKING,D,Z",det noun:animate adj aux::present:perfect:singular verb:anim-with-intrans prf with det noun:animate,0.26,det adj noun:animate aux::present:perfect:singular verb:anim-with-intrans prf with det noun:animate,0.26,present_perfect_animate_with_intransitive_adj,,anim_w_intrans,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,SIMPLE,Y,ACTION-LINKING,D,Z",det noun:animate aux::present:perfect:singular verb:anim-with-intrans prf with det noun:animate,0.45,det noun:animate aux::present:perfect:singular verb:anim-with-intrans prf with det noun:animate,0.45,present_perfect_animate_with_intransitive,,anim_w_intrans,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,SIMPLE,Y,ACTION-LINKING,D,Z",pron:subject aux::present:perfect:singular verb:anim-with-intrans prf with det noun:animate,0.45,pron:subject aux::present:perfect:singular verb:anim-with-intrans prf with det noun:animate,0.45,present_perfect_animate_with_intransitive_pron,,anim_w_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,Y,Y-MOD,ACTION-LINKING,D,Z",det noun:animate adj verb:anim-with-intrans with det noun:animate,0.26,det adj noun:animate verb:anim-with-intrans with det noun:animate,0.26,simple_present_animate_with_intransitive_adj,,anim_w_intrans,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,Y,ACTION-LINKING,D,Z",det noun:animate verb:anim-with-intrans with det noun:animate,0.45,det noun:animate verb:anim-with-intrans with det noun:animate,0.45,simple_present_animate_with_intransitive,,anim_w_intrans,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,Y,ACTION-LINKING,D,Z",pron:subject verb:anim-with-intrans with det noun:animate,0.45,pron:subject verb:anim-with-intrans with det noun:animate,0.45,simple_present_animate_with_intransitive_pron,,anim_w_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,SIMPLE,Y,Y-MOD,ACTION-LINKING,D,Z",det noun:animate adj verb:anim-with-intrans past with det noun:animate,0.26,det adj noun:animate verb:anim-with-intrans past with det noun:animate,0.26,simple_past_animate_with_intransitive_adj,,anim_w_intrans,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,SIMPLE,Y,ACTION-LINKING,D,Z",det noun:animate verb:anim-with-intrans past with det noun:animate,0.45,det noun:animate verb:anim-with-intrans past with det noun:animate,0.45,simple_past_animate_with_intransitive,,anim_w_intrans,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,SIMPLE,Y,ACTION-LINKING,D,Z",pron:subject verb:anim-with-intrans past with det noun:animate,0.45,pron:subject verb:anim-with-intrans past with det noun:animate,0.45,simple_past_animate_with_intransitive_pron,,anim_w_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,Y,Y-MOD,ACTION-LINKING,D,Z",det noun:animate adj aux::present:progressive:singular verb:locative prg prep det noun:goal,0.54,det adj noun:animate aux::present:progressive:singular verb:locative prg prep det noun:goal,0.54,present_progressive_locative_adj,,locative,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,Y,ACTION-LINKING,D,Z",det noun:animate aux::present:progressive:singular verb:locative prg prep det noun:goal,0.92,det noun:animate aux::present:progressive:singular verb:locative prg prep det noun:goal,0.92,present_progressive_locative,,locative,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,Y,ACTION-LINKING,D,Z",pron:subject aux::present:progressive:singular verb:locative prg prep det noun:goal,0.92,pron:subject aux::present:progressive:singular verb:locative prg prep det noun:goal,0.92,present_progressive_locative_pron,,locative,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,Y,Y-MOD,ACTION-LINKING,D,Z",det noun:animate adj aux::past:progressive:singular verb:locative prg prep det noun:goal,0.54,det adj noun:animate aux::past:progressive:singular verb:locative prg prep det noun:goal,0.54,past_progressive_locative_adj,,locative,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,Y,ACTION-LINKING,D,Z",det noun:animate aux::past:progressive:singular verb:locative prg prep det noun:goal,0.92,det noun:animate aux::past:progressive:singular verb:locative prg prep det noun:goal,0.92,past_progressive_locative,,locative,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,Y,ACTION-LINKING,D,Z",pron:subject aux::past:progressive:singular verb:locative prg prep det noun:goal,0.92,pron:subject aux::past:progressive:singular verb:locative prg prep det noun:goal,0.92,past_progressive_locative_pron,,locative,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,Y,Y-MOD,ACTION-LINKING,D,Z",det noun:animate adj aux::present:perfect:singular verb:locative prf prep det noun:goal,0.54,det adj noun:animate aux::present:perfect:singular verb:locative prf prep det noun:goal,0.54,present_perfect_locative_adj,,locative,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,Y,ACTION-LINKING,D,Z",det noun:animate aux::present:perfect:singular verb:locative prf prep det noun:goal,0.92,det noun:animate aux::present:perfect:singular verb:locative prf prep det noun:goal,0.92,present_perfect_locative,,locative,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,Y,ACTION-LINKING,D,Z",pron:subject aux::present:perfect:singular verb:locative prf prep det noun:goal,0.92,pron:subject aux::present:perfect:singular verb:locative prf prep det noun:goal,0.92,present_perfect_locative_pron,,locative,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,Y,Y-MOD,ACTION-LINKING,D,Z",det noun:animate adj verb:locative prep det noun:goal,0.54,det adj noun:animate verb:locative prep det noun:goal,0.54,simple_present_locative_adj,,locative,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,Y,ACTION-LINKING,D,Z",det noun:animate verb:locative prep det noun:goal,0.92,det noun:animate verb:locative prep det noun:goal,0.92,simple_present_locative,,locative,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,Y,ACTION-LINKING,D,Z",pron:subject verb:locative prep det noun:goal,0.92,pron:subject verb:locative prep det noun:goal,0.92,simple_present_locative_pron,,locative,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,SIMPLE,Y,Y-MOD,ACTION-LINKING,D,Z",det noun:animate adj verb:locative past prep det noun:goal,0.54,det adj noun:animate verb:locative past prep det noun:goal,0.54,simple_past_locative_adj,,locative,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,SIMPLE,Y,ACTION-LINKING,D,Z",det noun:animate verb:locative past prep det noun:goal,0.92,det noun:animate verb:locative past prep det noun:goal,0.92,simple_past_locative,,locative,
