message,nl,percentage_nl,en,percentage_en,comments,example,type,message_l2
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,YY,YY-MOD",det adj noun:animate aux::present:progressive:singular verb:anim-intrans prg,0.26,det adj noun:animate aux::present:progressive:singular verb:anim-intrans prg,0.26,present_progressive_animate_intransitive_adj,the tall woman is play -prg,anim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,YY",det noun:animate aux::present:progressive:singular verb:anim-intrans prg,0.45,det noun:animate aux::present:progressive:singular verb:anim-intrans prg,0.45,present_progressive_animate_intransitive,the woman is play -prg,anim_intrans,
"Y=pron;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,YY",pron:subject aux::present:progressive:singular verb:anim-intrans prg,0.45,pron:subject aux::present:progressive:singular verb:anim-intrans prg,0.45,present_progressive_animate_intransitive_pron,she is play -prg,anim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PAST,PROGRESSIVE,YY,YY-MOD",det adj noun:animate aux::past:progressive:singular verb:anim-intrans prg,0.26,det adj noun:animate aux::past:progressive:singular verb:anim-intrans prg,0.26,past_progressive_animate_intransitive_adj,the tall woman was play -prg,anim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PAST,PROGRESSIVE,YY",det noun:animate aux::past:progressive:singular verb:anim-intrans prg,0.45,det noun:animate aux::past:progressive:singular verb:anim-intrans prg,0.45,past_progressive_animate_intransitive,the woman was play -prg,anim_intrans,
"Y=pron;ACTION-LINKING=;EVENT-SEM=PAST,PROGRESSIVE,YY",pron:subject aux::past:progressive:singular verb:anim-intrans prg,0.45,pron:subject aux::past:progressive:singular verb:anim-intrans prg,0.45,past_progressive_animate_intransitive_pron,she was play -prg,anim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,YY,YY-MOD",det adj noun:animate aux::present:perfect:singular verb:anim-intrans prf,0.26,det adj noun:animate aux::present:perfect:singular verb:anim-intrans prf,0.26,present_perfect_animate_intransitive_adj,the tall woman has play -par,anim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,YY",det noun:animate aux::present:perfect:singular verb:anim-intrans prf,0.45,det noun:animate aux::present:perfect:singular verb:anim-intrans prf,0.45,present_perfect_animate_intransitive,the woman has play -par,anim_intrans,
"Y=pron;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,YY",pron:subject aux::present:perfect:singular verb:anim-intrans prf,0.45,pron:subject aux::present:perfect:singular verb:anim-intrans prf,0.45,present_perfect_animate_intransitive_pron,she has play -par,anim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,SIMPLE,YY,YY-MOD",det adj noun:animate verb:anim-intrans,0.26,det adj noun:animate verb:anim-intrans,0.26,simple_present_animate_intransitive_adj,,anim_intrans,
